STARTED: populate (master=bus:/)
PURGE: managed buses (18 removed)
BUS: SFX (created bus:/SFX)
BUS: Music (created bus:/Music)
BUS: SFX/Combat (created bus:/SFX/Combat)
BUS: SFX/UI (created bus:/SFX/UI)
BUS: SFX/Ambient (created bus:/SFX/Ambient)
BUS: SFX/Stingers (created bus:/SFX/Stingers)
PARAM: TimeScale (range 0.05..3 global=true)
AUTOMATION: SFX/Combat.pitch (8 points on TimeScale)
PURGE: stale events (0 removed)
OK: event:/SFX/Combat/attack (4 file(s), cat=whoosh, bus=SFX/Combat)
OK: event:/SFX/Effects/hunters_mark/apply (2 file(s), cat=ui_soft, bus=SFX/UI)
OK: event:/SFX/Effects/bulwark_shield/apply (2 file(s), cat=impact, bus=SFX/Combat)
OK: event:/SFX/Effects/dodge/apply (1 file(s), cat=ui_soft, bus=SFX/UI)
OK: event:/SFX/Effects/vortex_entry/apply (1 file(s), cat=whoosh, bus=SFX/Combat)
OK: event:/SFX/Effects/overgrowth/apply (1 file(s), cat=tonal, bus=SFX/Combat)
OK: event:/SFX/Effects/light_mend/tick (1 file(s), cat=ui_soft, bus=SFX/UI)
OK: event:/SFX/UI/click (5 file(s), cat=ui, bus=SFX/UI)
OK: event:/SFX/UI/hover (5 file(s), cat=ui_soft, bus=SFX/UI)
OK: event:/SFX/UI/tab (3 file(s), cat=ui, bus=SFX/UI)
OK: event:/SFX/UI/toggle (3 file(s), cat=ui, bus=SFX/UI)
OK: event:/SFX/UI/slider (3 file(s), cat=ui_soft, bus=SFX/UI)
OK: event:/SFX/UI/back (3 file(s), cat=ui, bus=SFX/UI)
OK: event:/SFX/UI/disabled (3 file(s), cat=ui, bus=SFX/UI)
OK: event:/SFX/UI/tooltip_show (2 file(s), cat=ui_soft, bus=SFX/UI)
OK: event:/SFX/UI/tooltip_detail (1 file(s), cat=ui_soft, bus=SFX/UI)
OK: event:/SFX/UI/screen_open (1 file(s), cat=ui, bus=SFX/UI)
OK: event:/SFX/UI/screen_close (1 file(s), cat=ui, bus=SFX/UI)
OK: event:/SFX/UI/modal_open (2 file(s), cat=ui, bus=SFX/UI)
OK: event:/SFX/UI/drag_grab (2 file(s), cat=ui, bus=SFX/UI)
OK: event:/SFX/UI/drag_drop (3 file(s), cat=ui, bus=SFX/UI)
OK: event:/SFX/UI/drag_reject (2 file(s), cat=ui, bus=SFX/UI)
OK: event:/SFX/UI/scroll (3 file(s), cat=ui_soft, bus=SFX/UI)
OK: event:/SFX/UI/pause (1 file(s), cat=ui, bus=SFX/UI)
OK: event:/SFX/UI/resume (1 file(s), cat=ui, bus=SFX/UI)
OK: event:/SFX/UI/speed (1 file(s), cat=ui_soft, bus=SFX/UI)
OK: event:/SFX/UI/camera (1 file(s), cat=ui_soft, bus=SFX/UI)
OK: event:/SFX/UI/quit (1 file(s), cat=ui, bus=SFX/UI)
OK: event:/SFX/UI/deploy_grab (2 file(s), cat=ui, bus=SFX/UI)
OK: event:/SFX/UI/deploy_place (2 file(s), cat=ui, bus=SFX/UI)
OK: event:/SFX/UI/deploy_reject (1 file(s), cat=ui, bus=SFX/UI)
OK: event:/Stingers/deploy_ready (1 file(s), cat=stinger, bus=SFX/Stingers)
OK: event:/SFX/UI/relic_equip (2 file(s), cat=ui, bus=SFX/UI)
OK: event:/SFX/UI/relic_unequip (1 file(s), cat=ui, bus=SFX/UI)
OK: event:/SFX/UI/relic_select (3 file(s), cat=ui, bus=SFX/UI)
OK: event:/SFX/Map/node_hover (1 file(s), cat=ui_soft, bus=SFX/UI)
OK: event:/SFX/Map/node_select (3 file(s), cat=ui, bus=SFX/UI)
OK: event:/SFX/Map/node_locked (2 file(s), cat=ui, bus=SFX/UI)
OK: event:/SFX/Map/travel_start (1 file(s), cat=ui_soft, bus=SFX/UI)
OK: event:/SFX/Map/travel_arrive (1 file(s), cat=ui, bus=SFX/UI)
OK: event:/SFX/Map/reveal (2 file(s), cat=ui_soft, bus=SFX/UI)
OK: event:/SFX/Map/open (2 file(s), cat=ui, bus=SFX/UI)
OK: event:/SFX/Map/close (2 file(s), cat=ui, bus=SFX/UI)
OK: event:/SFX/Flow/fade_in (1 file(s), cat=ui_soft, bus=SFX/UI)
OK: event:/SFX/Flow/fade_out (1 file(s), cat=ui_soft, bus=SFX/UI)
OK: event:/Stingers/node_enter (1 file(s), cat=stinger, bus=SFX/Stingers)
OK: event:/Stingers/reward_open (1 file(s), cat=stinger, bus=SFX/Stingers)
OK: event:/SFX/Flow/reward_card_select (2 file(s), cat=ui, bus=SFX/UI)
OK: event:/Stingers/reward_take (1 file(s), cat=stinger, bus=SFX/Stingers)
OK: event:/SFX/Flow/reward_skip (1 file(s), cat=ui, bus=SFX/UI)
OK: event:/SFX/Flow/gold_gain (2 file(s), cat=ui, bus=SFX/UI)
OK: event:/SFX/Flow/shop_buy (1 file(s), cat=ui, bus=SFX/UI)
OK: event:/SFX/Flow/shop_sell (1 file(s), cat=ui, bus=SFX/UI)
OK: event:/SFX/Flow/shop_reroll (2 file(s), cat=ui, bus=SFX/UI)
OK: event:/SFX/Flow/shop_denied (1 file(s), cat=ui, bus=SFX/UI)
OK: event:/Stingers/chest_open (1 file(s), cat=stinger, bus=SFX/Stingers)
OK: event:/SFX/Flow/camp_action (1 file(s), cat=ui, bus=SFX/UI)
OK: event:/SFX/Flow/camp_denied (1 file(s), cat=ui, bus=SFX/UI)
OK: event:/SFX/Flow/event_choice (2 file(s), cat=ui, bus=SFX/UI)
OK: event:/SFX/Flow/event_result (2 file(s), cat=ui_soft, bus=SFX/UI)
OK: event:/Stingers/run_start (1 file(s), cat=stinger, bus=SFX/Stingers)
OK: event:/Stingers/run_victory (1 file(s), cat=stinger, bus=SFX/Stingers)
OK: event:/Stingers/run_defeat (1 file(s), cat=stinger, bus=SFX/Stingers)
OK: event:/Stingers/title_card (1 file(s), cat=stinger, bus=SFX/Stingers)
OK: event:/SFX/Flow/menu_show (1 file(s), cat=ui, bus=SFX/UI)
OK: event:/SFX/Flow/menu_hide (1 file(s), cat=ui, bus=SFX/UI)
OK: event:/Music/menu (1 file(s), cat=music, bus=Music)
OK: event:/Music/map (1 file(s), cat=music, bus=Music)
OK: event:/Music/battle (1 file(s), cat=music, bus=Music)
OK: event:/SFX/Ambient/arena (1 file(s), cat=ambient, bus=SFX/Ambient)
CLEANUP: unused assets (0 removed)
SAVING: project
DONE: populate (built 120, failed 0 — теперь fmodstudiocl -build -ignore-warnings -export-guids)
