Left \ Right;Antimage;Arcanist;Assassin;BaseRelic;Cryomancer;Defender;Dreameater;Druid;Emberkeeper;FlameSwordsman;Frostbound;Hemomancer;IronSpearman;LightShepherd;Necromancer;Nightblade;Ranger;TrashArcher;TrashBonecaller;TrashBrawler;TrashCutthroat;TrashHerbalist;TrashHexer;TrashShieldbearer;Treant;WaterMonk;WhirlMonk
Frostbound;W 25%;W 34%;L;W 54%;W 31%;L;L;W 38%;W 44%;W 28%;-;W 46%;L;L;W 44%;L;W 25%;W 39%;W 61%;W 47%;W 52%;W 52%;W 55%;W 31%;L;L;W 27%
Hemomancer;L;L;L;W 7%;L;L;L;L;L;L;L;-;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L
IronSpearman;W 29%;L;L;W 43%;W 33%;L;L;W 35%;W 42%;W 18%;W 22%;W 42%;-;W 25%;W 51%;L;W 25%;W 43%;W 63%;W 36%;W 39%;W 53%;W 56%;W 28%;L;L;D 25%
LightShepherd;W 51%;W 38%;L;W 58%;W 40%;L;W 34%;W 49%;W 60%;W 46%;W 24%;W 61%;L;-;W 63%;L;W 42%;W 53%;W 64%;W 60%;W 55%;W 55%;W 64%;W 49%;W 32%;L;D 10%
Necromancer;L;L;L;W 44%;L;L;L;L;W 7%;L;L;W 20%;L;L;-;L;L;L;W 36%;W 15%;W 33%;W 25%;W 31%;L;L;L;D 7%
Nightblade;D 0%;W 33%;W 32%;W 51%;W 31%;L;W 14%;W 33%;W 36%;W 33%;W 0%;W 42%;W 15%;W 24%;W 44%;-;W 21%;W 35%;W 60%;W 38%;W 50%;W 55%;W 53%;W 30%;L;L;W 27%
Ranger;L;W 17%;L;W 51%;W 25%;L;L;W 30%;W 36%;W 9%;L;W 41%;L;L;W 38%;L;-;W 33%;W 57%;W 36%;W 46%;W 45%;W 50%;W 19%;L;L;D 16%
TrashArcher;L;L;L;W 36%;L;L;L;W 11%;W 21%;L;L;W 24%;L;L;W 18%;L;L;-;W 45%;W 22%;W 27%;W 30%;W 37%;W 8%;L;L;L
TrashBonecaller;L;L;L;D 5%;L;L;L;L;L;L;L;W 6%;L;L;L;L;L;L;-;L;L;L;L;L;L;L;L
TrashBrawler;L;L;L;W 31%;L;L;L;L;L;L;L;W 23%;L;L;L;L;L;L;W 41%;-;W 17%;L;D 28%;L;L;L;L
TrashCutthroat;L;L;L;W 20%;L;L;L;L;L;L;L;W 13%;L;L;L;L;L;L;W 35%;L;-;L;D 5%;L;L;L;L
TrashHerbalist;L;L;L;W 34%;L;L;L;L;L;L;L;W 19%;L;L;L;L;L;L;W 43%;W 8%;W 6%;-;W 27%;L;L;L;L
TrashHexer;L;L;L;W 7%;L;L;L;L;L;L;L;W 11%;L;L;L;L;L;L;W 26%;D 6%;D 5%;L;-;L;L;L;L
TrashShieldbearer;W 1%;L;L;W 46%;W 19%;L;L;W 14%;W 26%;D 0%;L;W 38%;L;L;W 34%;L;L;L;W 54%;W 35%;W 41%;W 39%;W 47%;-;L;L;L
Treant;W 26%;W 26%;D 2%;W 50%;W 28%;L;W 17%;W 38%;W 42%;W 28%;W 17%;W 50%;W 16%;L;W 39%;W 17%;W 29%;W 41%;W 56%;W 45%;W 45%;W 50%;W 52%;W 24%;-;L;W 27%
WaterMonk;W 48%;W 50%;D 35%;W 63%;W 50%;W 21%;W 37%;W 45%;W 55%;W 51%;W 40%;W 53%;W 42%;W 32%;W 58%;W 22%;W 41%;W 51%;W 69%;W 57%;W 60%;W 65%;W 63%;W 44%;W 43%;-;W 45%
WhirlMonk;D 8%;L;L;W 51%;W 25%;L;L;W 29%;W 39%;D 5%;L;W 45%;D 9%;D 1%;D 6%;L;D 3%;W 24%;W 56%;W 30%;W 48%;W 48%;W 48%;W 28%;L;L;-
