Left \ Right;Antimage;Arcanist;Assassin;BaseRelic;Cryomancer;Defender;Dreameater;Druid;Emberkeeper;FlameSwordsman;Frostbound;Hemomancer;IronSpearman;LightShepherd;Necromancer;Nightblade;Ranger;TrashArcher;TrashBonecaller;TrashBrawler;TrashCutthroat;TrashHerbalist;TrashHexer;TrashShieldbearer;Treant;WaterMonk;WhirlMonk
IronSpearman;W 27%;L;D 7%;W 44%;W 35%;L;L;W 24%;W 15%;W 27%;L;W 43%;-;L;W 35%;L;W 32%;W 43%;D 34%;W 35%;W 43%;W 58%;W 35%;W 42%;L;L;D 34%
LightShepherd;W 48%;L;L;W 67%;W 57%;W 50%;W 45%;W 55%;W 51%;W 57%;W 47%;W 69%;W 32%;-;W 74%;L;W 51%;W 57%;W 70%;W 63%;W 63%;W 69%;W 55%;W 67%;W 41%;L;W 56%
Necromancer;W 39%;L;D 37%;W 53%;W 39%;L;W 3%;W 3%;W 28%;W 35%;L;W 45%;W 6%;L;-;W 1%;W 32%;W 42%;W 40%;W 49%;W 53%;W 52%;W 39%;W 43%;W 3%;L;W 33%
Nightblade;W 43%;L;W 39%;W 57%;W 43%;W 14%;L;W 26%;W 30%;W 46%;L;W 54%;W 30%;W 27%;D 1%;-;W 38%;W 52%;W 50%;W 53%;W 56%;W 64%;W 49%;W 51%;W 30%;L;W 47%
Ranger;W 11%;L;D 32%;W 48%;W 5%;L;L;L;L;D 7%;L;W 38%;L;L;L;L;-;W 27%;W 34%;W 42%;W 48%;W 39%;W 26%;W 17%;L;L;L
TrashArcher;L;L;L;W 35%;L;L;L;L;L;L;L;W 30%;L;L;L;L;L;-;L;W 24%;W 42%;L;L;W 28%;L;L;L
TrashBonecaller;L;L;L;W 37%;L;L;L;L;L;L;L;W 27%;L;L;L;L;L;W 5%;-;W 31%;W 40%;W 29%;D 4%;W 4%;L;L;L
TrashBrawler;L;L;L;W 27%;L;L;L;L;L;L;L;W 19%;L;L;L;L;L;L;L;-;W 30%;W 11%;L;L;L;L;L
TrashCutthroat;L;L;L;W 19%;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;-;W 4%;L;L;L;L;L
TrashHerbalist;L;L;L;W 5%;L;L;L;L;L;L;L;W 37%;L;L;L;L;L;W 6%;L;L;L;-;L;L;L;L;L
TrashHexer;D 1%;L;L;W 40%;L;L;L;D 1%;D 0%;D 3%;L;W 31%;L;L;L;L;L;W 14%;L;W 30%;W 38%;W 25%;-;D 1%;L;L;D 2%
TrashShieldbearer;L;L;D 6%;W 40%;W 3%;L;L;L;L;L;L;W 42%;L;L;L;L;L;L;L;W 30%;W 37%;W 26%;D 13%;-;L;L;L
Treant;W 32%;L;D 9%;W 44%;W 11%;L;L;W 15%;W 16%;D 26%;L;W 40%;W 18%;L;L;L;W 28%;W 34%;W 33%;W 39%;W 48%;W 37%;W 33%;W 35%;-;L;D 25%
WaterMonk;W 63%;L;D 59%;W 73%;W 64%;L;W 52%;W 47%;W 58%;W 66%;W 48%;W 69%;W 50%;W 45%;W 60%;W 55%;W 58%;W 68%;W 70%;W 69%;W 71%;W 79%;W 66%;W 57%;W 55%;-;W 60%
WhirlMonk;W 23%;L;D 6%;W 52%;W 18%;L;L;D 3%;D 1%;D 3%;L;W 46%;D 5%;L;L;L;W 17%;W 33%;W 29%;W 48%;W 50%;W 45%;D 22%;W 28%;D 1%;L;-
