Left \ Right;Antimage;Arcanist;Assassin;BaseRelic;Cryomancer;Defender;Dreameater;Druid;Emberkeeper;FlameSwordsman;Frostbound;Geomancer;IronSpearman;LightShepherd;Necromancer;Nightblade;Ranger;TrashArcher;TrashBonecaller;TrashBrawler;TrashCutthroat;TrashHerbalist;TrashHexer;TrashShieldbearer;Treant;WaterMonk;WhirlMonk
Frostbound;W 71%;W 25%;D 45%;W 89%;W 80%;W 54%;W 74%;W 88%;W 86%;W 67%;-;W 94%;W 68%;W 85%;W 32%;W 47%;W 60%;W 85%;W 95%;W 81%;W 83%;W 97%;W 92%;W 86%;W 60%;L;W 57%
Geomancer;L;L;L;L;L;L;L;L;L;L;L;-;L;L;L;L;L;L;L;L;L;W 7%;L;L;L;L;L
IronSpearman;W 14%;L;L;W 73%;L;L;L;W 57%;W 41%;L;L;W 94%;-;W 55%;L;L;L;W 69%;W 93%;W 48%;W 43%;W 88%;W 85%;W 22%;L;L;W 1%
LightShepherd;L;L;L;W 37%;L;L;L;D 55%;D 55%;L;L;W 88%;L;-;L;L;L;L;W 89%;L;L;W 59%;D 63%;L;L;L;L
Necromancer;W 100%;L;D 82%;W 100%;W 88%;L;W 90%;W 84%;W 94%;W 100%;L;W 88%;W 23%;W 92%;-;W 72%;W 90%;W 93%;W 97%;W 100%;W 100%;W 97%;W 96%;W 39%;W 94%;L;W 64%
Nightblade;W 40%;W 17%;W 17%;W 81%;W 49%;W 24%;W 48%;W 73%;W 65%;W 39%;L;W 91%;W 43%;W 73%;L;-;W 39%;W 65%;W 91%;W 65%;W 58%;W 93%;W 84%;W 74%;W 24%;L;W 35%
Ranger;W 21%;L;L;W 72%;W 12%;L;L;W 41%;W 36%;L;L;W 88%;W 9%;W 62%;L;L;-;W 49%;W 88%;W 56%;W 54%;W 85%;W 80%;W 46%;L;L;L
TrashArcher;L;L;L;W 31%;L;L;L;W 7%;L;L;L;W 83%;L;W 33%;L;L;L;-;W 75%;L;L;W 75%;W 54%;L;L;L;L
TrashBonecaller;L;L;L;W 3%;L;L;L;L;L;L;L;W 0%;L;L;L;L;L;L;-;L;L;W 54%;W 14%;D 14%;L;L;L
TrashBrawler;L;L;L;W 51%;L;L;L;W 9%;L;L;L;W 91%;L;W 7%;L;L;L;W 11%;W 81%;-;L;L;W 68%;L;L;L;L
TrashCutthroat;L;L;L;W 53%;L;L;L;W 8%;W 14%;L;L;W 86%;L;W 52%;L;L;L;W 31%;W 83%;W 14%;-;W 83%;W 67%;L;L;W 10%;L
TrashHerbalist;L;L;L;W 56%;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;W 0%;L;-;D 100%;L;L;L;L
TrashHexer;L;L;L;L;L;L;L;D 6%;L;L;L;W 67%;L;D 14%;L;L;L;L;L;L;L;D 22%;-;L;L;L;L
TrashShieldbearer;L;L;L;W 67%;L;L;L;W 41%;W 18%;L;L;W 95%;L;W 14%;L;L;L;W 43%;L;W 36%;W 19%;W 53%;W 78%;-;L;L;L
Treant;W 27%;L;D 16%;W 74%;W 30%;L;L;W 48%;W 43%;L;L;W 97%;W 25%;W 45%;L;L;W 26%;W 62%;W 79%;W 54%;W 60%;W 57%;W 76%;W 31%;-;L;W 17%
WaterMonk;W 70%;W 43%;D 61%;W 87%;W 66%;W 54%;W 68%;W 85%;W 81%;W 69%;W 1%;W 94%;W 73%;W 85%;W 36%;W 47%;W 66%;W 77%;W 95%;W 81%;L;W 95%;W 89%;W 83%;W 68%;-;W 51%
WhirlMonk;W 30%;L;D 14%;W 78%;W 49%;L;W 15%;W 71%;W 63%;D 8%;L;W 94%;L;W 70%;L;L;W 38%;W 68%;W 92%;W 64%;W 57%;W 90%;W 87%;W 52%;L;L;-
