PairA;PairB;Synergy_2v2;Synergy_4v4;Synergy_6v6;SynergyAvg
LightShepherd;Nightblade;7.369;-19.609;-17.298;-9.846
IronSpearman;TrashBonecaller;-29.697;9.977;-10.214;-9.978
Emberkeeper;IronSpearman;-29.697;6.607;-6.923;-10.004
Arcanist;WhirlMonk;-0.657;-14.25;-15.172;-10.026
Antimage;IronSpearman;-44.046;19.495;-5.641;-10.064
Necromancer;Nightblade;22.345;-29.984;-22.719;-10.119
Assassin;Geomancer;0;-30.059;-0.321;-10.127
IronSpearman;TrashHerbalist;-29.697;10.783;-11.731;-10.215
Druid;TrashHexer;0;-22.791;-8.308;-10.367
Druid;TrashArcher;-3.62;-15.636;-12.438;-10.565
TrashShieldbearer;Treant;-35.998;3.189;0.792;-10.672
TrashArcher;WaterMonk;-14.607;-9.718;-7.714;-10.68
Assassin;BaseRelic;0;-32.222;-0.321;-10.848
TrashHexer;WaterMonk;-18.963;-6.714;-6.875;-10.85
Druid;TrashBrawler;0;-20.288;-12.438;-10.909
Druid;Geomancer;0;-20.429;-12.438;-10.956
Druid;TrashBonecaller;0;-20.429;-12.438;-10.956
BaseRelic;Druid;0;-20.429;-12.438;-10.956
Druid;TrashCutthroat;0;-20.429;-12.438;-10.956
Antimage;Druid;-17.192;-8.142;-7.785;-11.04
Frostbound;WhirlMonk;9.453;-12.778;-29.984;-11.103
Dreameater;TrashHexer;-9.205;-13.114;-11.01;-11.11
Dreameater;TrashBonecaller;-9.205;-15.172;-9.026;-11.135
Druid;Treant;-7.308;-14.781;-11.957;-11.349
LightShepherd;TrashBonecaller;-44.671;5.881;4.734;-11.352
FlameSwordsman;Treant;-27.047;0.371;-7.471;-11.383
Defender;TrashBonecaller;-21.949;-4.813;-7.954;-11.572
Dreameater;Necromancer;3.161;-29.785;-9.03;-11.885
Frostbound;TrashHerbalist;-10.389;-13.235;-12.136;-11.92
Dreameater;Druid;-8.165;-15.975;-11.703;-11.948
Druid;Emberkeeper;0;-23.062;-13.364;-12.142
Arcanist;TrashBonecaller;-24.3;-7.065;-6.086;-12.483
Antimage;Treant;-46.156;5.946;2.697;-12.504
Frostbound;TrashArcher;-11.071;-5.931;-20.854;-12.619
TrashArcher;Treant;-14.107;-11.414;-12.631;-12.717
Antimage;Defender;-20.46;-15.506;-2.828;-12.932
Arcanist;Ranger;-11.492;-29.199;0.501;-13.397
FlameSwordsman;WaterMonk;-26.388;-11.869;-2.278;-13.512
Dreameater;Nightblade;2.632;-35.588;-8.251;-13.736
Defender;Nightblade;14.4;-33.257;-22.923;-13.927
Necromancer;TrashBrawler;-27.371;-10.873;-4.221;-14.155
Necromancer;TrashArcher;-28.795;-6.662;-7.033;-14.163
TrashShieldbearer;WaterMonk;5.528;-0.145;-48.177;-14.264
BaseRelic;Necromancer;-21.601;-13.989;-7.305;-14.299
Emberkeeper;LightShepherd;-44.671;-0.72;1.888;-14.501
FlameSwordsman;Frostbound;-2.664;-26.829;-14.044;-14.513
Defender;Dreameater;-3.106;-34.632;-6.279;-14.672
Dreameater;Treant;-7.923;-28.297;-8.01;-14.743
IronSpearman;Treant;-35.134;0.412;-9.777;-14.833
Dreameater;Frostbound;-5.103;-28.87;-11.495;-15.156
Arcanist;IronSpearman;-19.634;-10.633;-15.507;-15.258
Arcanist;TrashHexer;-24.3;-6.719;-14.885;-15.301
LightShepherd;TrashBrawler;-44.671;5.635;-7.279;-15.438
Assassin;Treant;-9.151;-29.022;-8.528;-15.567
Dreameater;Ranger;-5.953;-31.753;-9.367;-15.691
IronSpearman;TrashHexer;-29.697;-6.77;-10.681;-15.716
Arcanist;Druid;-15.809;-16.569;-16.959;-16.446
Necromancer;TrashHerbalist;-39.394;-7.981;-1.994;-16.456
Nightblade;WhirlMonk;21.608;-56.807;-14.313;-16.504
LightShepherd;TrashHexer;-44.671;0.006;-4.975;-16.547
IronSpearman;TrashBrawler;-22.745;-15.439;-11.731;-16.638
TrashBonecaller;WaterMonk;-40.169;-3.842;-6.022;-16.678
Dreameater;TrashBrawler;-2.054;-36.243;-12.821;-17.039
Dreameater;TrashHerbalist;-9.205;-39.001;-2.921;-17.043
FlameSwordsman;IronSpearman;-29.697;-16.758;-5.449;-17.301
Emberkeeper;Necromancer;-27.71;-15.683;-9.058;-17.484
Arcanist;Cryomancer;-9.423;-31.534;-11.618;-17.525
Dreameater;TrashCutthroat;-9.205;-33.601;-10.203;-17.67
Geomancer;IronSpearman;-29.697;-12.932;-11.731;-18.12
BaseRelic;Dreameater;-9.205;-33.56;-12.821;-18.529
IronSpearman;TrashCutthroat;-29.697;-15.439;-10.525;-18.553
Frostbound;TrashBonecaller;-37.636;-3.003;-15.147;-18.596
Nightblade;Treant;-15.967;-24.602;-15.436;-18.668
BaseRelic;IronSpearman;-29.697;-15.439;-11.731;-18.955
Druid;LightShepherd;-44.671;-7.899;-4.494;-19.021
Dreameater;WaterMonk;-5.103;-37.396;-15.006;-19.168
Arcanist;TrashBrawler;-10.999;-26.174;-20.437;-19.203
IronSpearman;Nightblade;4.415;-58.096;-4.849;-19.51
Arcanist;Nightblade;-7.521;-28.632;-22.393;-19.515
TrashBonecaller;Treant;-38.489;-4.55;-15.87;-19.636
Frostbound;Nightblade;14.046;-56.582;-18.138;-20.225
Arcanist;Necromancer;-0.124;-36.012;-24.583;-20.24
Cryomancer;Dreameater;-9.205;-39.001;-12.56;-20.256
Dreameater;Geomancer;-9.205;-39.001;-12.821;-20.342
Defender;Frostbound;-20.914;-27.209;-12.994;-20.372
Assassin;Nightblade;36.126;-70.356;-26.952;-20.394
Nightblade;TrashBrawler;0;-42.658;-18.991;-20.55
Defender;LightShepherd;-32.908;-24.355;-5.793;-21.019
BaseRelic;Nightblade;8.986;-42.658;-29.808;-21.16
Arcanist;Defender;-11.459;-31.05;-21.882;-21.464
Dreameater;TrashArcher;-12.825;-39.001;-12.821;-21.549
Arcanist;Frostbound;-20.197;-25.973;-19.142;-21.771
Arcanist;Treant;-11.47;-28.655;-25.254;-21.793
BaseRelic;Defender;-26.855;-11.309;-28.769;-22.311
TrashBrawler;WaterMonk;-13.947;-12.502;-40.753;-22.401
TrashHerbalist;Treant;-12.77;-28.048;-27.989;-22.935
IronSpearman;WaterMonk;-20.805;-27.247;-20.83;-22.96
Nightblade;TrashCutthroat;2.808;-42.658;-29.808;-23.219
Geomancer;Nightblade;0;-42.658;-27.117;-23.258
Necromancer;TrashHexer;-36.713;-23.061;-10.633;-23.469
LightShepherd;Treant;-23.85;-30.275;-16.903;-23.676
Druid;Necromancer;-27.001;-24.754;-19.782;-23.846
TrashHexer;Treant;-40.104;-6.743;-24.9;-23.916
Necromancer;TrashBonecaller;-39.394;-22.067;-10.633;-24.031
Frostbound;TrashBrawler;1.589;-43.651;-30.321;-24.128
LightShepherd;TrashCutthroat;-44.671;8.215;-37.275;-24.577
Frostbound;LightShepherd;-28.948;-26.924;-18.385;-24.753
Frostbound;Necromancer;-23.667;-33.47;-17.973;-25.037
Necromancer;TrashCutthroat;-39.394;-15.384;-21.198;-25.325
Frostbound;TrashHexer;-45.577;-5.811;-24.937;-25.442
Arcanist;TrashCutthroat;-24.3;-25.519;-28.479;-26.099
LightShepherd;Necromancer;-12.108;-38.665;-27.55;-26.108
Arcanist;TrashHerbalist;-24.3;-37.621;-17.465;-26.462
Necromancer;WaterMonk;-12.044;-37.953;-30.133;-26.71
BaseRelic;LightShepherd;-44.671;5.941;-43.03;-27.253
Arcanist;TrashArcher;-27.92;-37.621;-16.502;-27.348
LightShepherd;Ranger;-48.844;-38.645;4.349;-27.714
Geomancer;Treant;-27.48;-28.048;-27.989;-27.839
Arcanist;BaseRelic;-24.3;-30.92;-28.524;-27.914
Arcanist;WaterMonk;-20.197;-36.275;-27.596;-28.023
Frostbound;Treant;-34.742;-28.535;-23.5;-28.926
TrashBrawler;Treant;-42.331;-16.988;-27.989;-29.102
LightShepherd;TrashHerbalist;-44.671;-47.794;4.951;-29.172
Cryomancer;LightShepherd;-44.671;-47.794;4.941;-29.175
LightShepherd;TrashShieldbearer;-44.671;-0.943;-43.03;-29.548
Defender;WaterMonk;-24.438;-34.96;-29.729;-29.709
Treant;WaterMonk;-33.793;-28.592;-28.213;-30.199
Assassin;WaterMonk;15.297;-89.82;-16.841;-30.455
Arcanist;Geomancer;-24.3;-37.621;-29.641;-30.52
Frostbound;TrashCutthroat;-18.139;-43.308;-30.321;-30.589
BaseRelic;WaterMonk;-21.368;-22.571;-48.177;-30.705
TrashCutthroat;WaterMonk;-17.467;-62.571;-12.197;-30.745
LightShepherd;WaterMonk;-29.735;-26.832;-35.684;-30.75
Geomancer;Necromancer;-39.394;-20.836;-33.206;-31.145
Nightblade;WaterMonk;-4.781;-70.46;-20.338;-31.86
Necromancer;Treant;-35.157;-31.521;-30.224;-32.301
BaseRelic;Treant;-42.331;-28.048;-27.989;-32.789
TrashCutthroat;Treant;-42.331;-28.048;-27.989;-32.789
Frostbound;IronSpearman;-20.244;-37.474;-42.051;-33.256
BaseRelic;Frostbound;-26.701;-43.651;-30.321;-33.558
Defender;Necromancer;-32.572;-37.869;-34.2;-34.88
LightShepherd;TrashArcher;-48.291;-47.794;-10.747;-35.611
Arcanist;Dreameater;-18.628;-72.411;-17.508;-36.183
Defender;Treant;-49.434;-33.303;-27.674;-36.804
Frostbound;Geomancer;-40.378;-43.651;-30.321;-38.117
Geomancer;WaterMonk;-54.188;-20.273;-40.524;-38.328
Defender;TrashCutthroat;-27.441;-52.361;-41.298;-40.366
WaterMonk;WhirlMonk;4.362;-78.674;-47.216;-40.51
Defender;Geomancer;-32.025;-52.361;-42.954;-42.446
Geomancer;LightShepherd;-44.671;-47.794;-43.03;-45.165
Dreameater;LightShepherd;-53.876;-76.675;-5.609;-45.386
Frostbound;WaterMonk;-37.966;-50.2;-71.547;-53.238
Arcanist;LightShepherd;-68.97;-72.217;-23.803;-54.997
